Timestamp,Umur anda? ,Jantina anda? ,Institusi pendidikan MARA yang anda hadiri? ,Bidang pengajian utama anda? ,Tahap pendidikan tertinggi anda? ,Tahun graduasi anda? ,Pendapatan isi rumah bulanan keluarga anda?,Pekerjaan bapa anda,Pekerjaan ibu anda?,Bagaimana anda membiayai pendidikan anda?,Adakah jenis pembiayaan ini memberi kelebihan dalam mencari kerja?,"Jika anda mempunyai pinjaman pendidikan, adakah beban hutang mempengaruhi pilihan kerjaya anda?",Adakah anda kini bekerja?,"Jika bekerja, berapa lama selepas tamat pengajian anda mendapat pekerjaan pertama?",Apakah jenis pekerjaan anda sekarang,Apakah faktor utama yang membantu anda mendapat pekerjaan tersebut?,Apakah sebab utama jika anda tidak bekerja dalam bidang pengajian?,"Jika anda bekerja di luar bidang pengajian, adakah pekerjaan tersebut masih memerlukan kemahiran akademik anda?",Apakah status pekerjaan anda sekarang?,Apakah sektor pekerjaan anda?,Apakah industri pekerjaan anda sekarang?,Apakah jangkaan gaji permulaan yang anda anggap sesuai dengan kelulusan anda?,Berapakah julat gaji bulanan anda sekarang?,Adakah gaji anda bersesuaian dengan kelulusan anda?,Sejauh mana latihan industri/praktikal mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran komunikasi  mempengaruhi kebolehpasaran anda?,Sejauh mana kemahiran teknikal mempengaruhi kebolehpasaran anda?,Sejauh mana rangkaian peribadi (networking) mempengaruhi kebolehpasaran anda?,Sejauh mana kelayakan akademik mempengaruhi kebolehpasaran anda?,Adakah anda memiliki sijil profesional tambahan selain ijazah/diploma?,Adakah sijil profesional ini membantu anda dalam mendapatkan pekerjaan?,Adakah majikan anda meminta kelayakan tambahan selain daripada ijazah anda?,Kemahiran tambahan manakah yang paling banyak diminta oleh majikan semasa temu duga? ,Sejauh mana anda bersetuju bahawa universiti telah menyediakan anda untuk pasaran kerja?,Apakah cabaran utama yang anda hadapi dalam mendapatkan pekerjaan?,Adakah anda menjalani internship/praktikal sebelum tamat pengajian?,Bagaimana internship membantu anda dalam mendapatkan pekerjaan?,"Jika tidak menjalani internship, apakah sebab utama?",Apakah bentuk pekerjaan bebas yang anda ceburi sekarang atau bercadang untuk ceburi dalam masa terdekat?,Adakah universiti anda menawarkan kursus atau latihan berkaitan keusahawanan?,"Adakah universiti anda pernah menganjurkan program berkaitan perniagaan atau ekonomi gig seperti hackathon, bootcamp, atau geran permulaan perniagaan?",Adakah program berkaitan perniagaan atau ekonomi gig di universiti membantu anda dalam memulakan atau mengembangkan pekerjaan bebas anda?,Apakah sebab utama anda memilih untuk bekerja dalam ekonomi gig? ,Bagaimanakah anda memperoleh kemahiran untuk bekerja dalam ekonomi gig?,Apakah cabaran utama yang anda hadapi dalam keusahawanan atau ekonomi gig?,Apakah bantuan atau sokongan yang anda rasa perlu untuk berjaya dalam keusahawanan dan ekonomi gig?,Berapakah purata pendapatan bulan anda daripada ekonomi gig?,"Jika diberikan peluang pekerjaan tetap dengan gaji setanding ekonomi gig, adakah anda akan menerimanya?"
3/5/2025 21:28:51,30 tahun ke atas,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Lebih daripada RM10,959",Sektor Swasta,Sektor Awam,Dibiayai sendiri,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Kewangan, Perbankan & Insurans","RM2,000 - RM2,999","RM5,000 ke atas","Ya, gaji saya setanding dengan kelulusan saya",5,5,5,5,5,Tidak,"Ya, ia menjadi faktor utama saya diterima bekerja","Tidak, ijazah sudah mencukupi","Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Keupayaan membuat keputusan berdasarkan data",5,Terlalu banyak persaingan dalam bidang saya,"Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, dan ia sangat membantu.","Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 21:38:06,30 tahun ke atas,Perempuan,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Kurang daripada RM4,850",Tidak bekerja,Bekerja sendiri,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Tidak, sedang mencari pekerjaan",3 - 6 bulan,Tidak bekerja,Melalui pameran kerjaya atau job fair,Tiada peluang pekerjaan yang sesuai,"Tidak, pekerjaan saya langsung tidak memerlukan kemahiran akademik saya",Pekerja kontrak,Tidak Bekerja,Ekonomi Gig & Freelancing,"Kurang daripada RM2,000","RM1,500 - RM2,999",Tidak pasti,3,4,3,4,3,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",3,"Terlalu banyak persaingan dalam bidang saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
3/5/2025 22:32:33,25-29 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),"Psikologi, Sosiologi & Kajian Kemanusiaan",Ijazah Sarjana Muda,2020,"Lebih daripada RM10,959",Sektor Swasta,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja di luar bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat), Dihubungi oleh perekrut atau headhunter","Tiada peluang pekerjaan yang sesuai, Gaji terlalu rendah dalam bidang asal, Lebih banyak peluang dalam bidang lain","Tidak, pekerjaan saya langsung tidak memerlukan kemahiran akademik saya",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",5,5,5,5,5,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Kemahiran komunikasi, Kemahiran pembentangan, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Pemasaran digital dan media sosial, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Kemahiran pengaturcaraan (Python, SQL, Java), Keupayaan membuat keputusan berdasarkan data",3,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Gaji yang ditawarkan terlalu rendah, Saya tidak tahu bagaimana mencari pekerjaan yang sesuai, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kriteria pekerjaan tidak sesuai dengan kelayakan akademik saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor swasta",Tidak memberi impak dalam mendapatkan pekerjaan.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, tetapi saya tidak rasa ia cukup relevan.","Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 22:42:04,25-29 tahun,Lelaki,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Kejuruteraan & Teknologi,Ijazah Sarjana Muda,2023,"Kurang daripada RM4,850",Sektor Awam,Sektor Awam,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Program kerajaan (contoh: MySTEP, Protege, SL1M)",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM2,000 - RM2,999","RM1,500 - RM2,999",Tidak pasti,3,4,4,3,3,Tidak,"Ya, tetapi bukan faktor utama","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Pemikiran kritis dan penyelesaian masalah, Analisis data dan penyelidikan, Kemahiran pengaturcaraan (Python, SQL, Java)",3,"Terlalu banyak persaingan dalam bidang saya, Kekurangan kemahiran yang dicari majikan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya","Ya, di sektor awam",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Penghantaran & e-hailing (Grab, FoodPanda, Lalamove)","Ya, tetapi saya tidak rasa ia cukup relevan.","Ya, tetapi saya tidak menyertainya.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Menjadikan ekonomi gig sebagai sumber pendapatan tambahan.,"Belajar sendiri melalui internet (YouTube, blog, forum)., Rakan/keluarga mengajar atau berkongsi pengalaman.","Ketidakstabilan pendapatan (pendapatan tidak tetap setiap bulan)., Tiada jaminan pekerjaan dan manfaat seperti KWSP/PERKESO.","Platform khas untuk graduan MARA dalam ekonomi gig., Perlindungan sosial (KWSP, PERKESO, insurans).","Kurang daripada RM1,000","Tidak pasti, bergantung kepada faedah dan fleksibiliti kerja tetap itu."
3/5/2025 22:48:49,30 tahun ke atas,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2020,"RM4,850 – RM10,959",Usahawan,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",3 - 6 bulan,Bekerja di luar bidang pengajian,"Rangkaian peribadi / kenalan (pensyarah, alumni, keluarga, rakan)",Lebih banyak peluang dalam bidang lain,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Pekerja kontrak,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM2,000 - RM2,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,4,4,4,4,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",4,"Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kriteria pekerjaan tidak sesuai dengan kelayakan akademik saya, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman, Tiada peluang pekerjaan dalam bidang saya di kawasan tempat tinggal saya, Proses permohonan kerja terlalu kompleks atau mengambil masa yang lama, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tiada peluang internship yang sesuai.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,Tidak pasti.,"Ya, tetapi saya tidak menyertainya.","Tidak, saya tidak merasakan program ini memberi kesan terhadap saya.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/5/2025 22:56:42,30 tahun ke atas,Perempuan,"Universiti Poly-Tech Malaysia (UPTM), Kolej Poly-Tech MARA",Pemasaran & Pengurusan Sumber Manusia,Ijazah Sarjana Muda,2020,"Kurang daripada RM4,850",Sektor Swasta,Tidak bekerja,Biasiswa penuh,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Tidak, sedang mencari pekerjaan",Kurang dari 3 bulan,Mengusahakan perniagaan sendiri,"Dihubungi oleh perekrut atau headhunter, Memulakan perniagaan sendiri / bekerja dalam ekonomi gig",Tidak berminat dengan bidang asal,"Ya, pekerjaan saya masih berkaitan tetapi dalam bidang lain",Usahawan,Sektor Keusahawanan (Menjalankan perniagaan sendiri),"Perniagaan, Keusahawanan & Perdagangan","RM2,000 - RM2,999","Kurang daripada RM1,500",Tidak pasti,5,4,4,4,4,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Keusahawanan dan pengurusan perniagaan",3,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 9:34:25,30 tahun ke atas,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Pendidikan & Latihan,Sarjana,2020,"Lebih daripada RM10,959",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Pendidikan & Latihan,"RM5,000 ke atas","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",4,5,3,4,4,Tidak,Tidak memberi kesan,"Tidak, ijazah sudah mencukupi",Pemasaran digital dan media sosial,4,Tiada pengalaman kerja yang mencukupi,"Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)","Ya, dan ia sangat membantu.","Tidak, saya tidak pernah dengar tentang program seperti ini.","Ya, program tersebut memberi kesan positif dan membantu saya berkembang.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Pinjaman atau geran untuk membangunkan perniagaan gig.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 10:17:23,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pengurusan Perniagaan & Keusahawanan,Ijazah Sarjana Muda,2022,"RM4,850 – RM10,959",Tidak bekerja,Sektor Swasta,"Pinjaman pendidikan, Dibiayai sendiri","Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,Melalui latihan industri / praktikal,"Tiada peluang pekerjaan yang sesuai, Tidak berkaitan kerana saya bekerja dalam bidang pengajian",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Perniagaan, Keusahawanan & Perdagangan","RM2,000 - RM2,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",5,5,4,4,4,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification",Tidak memberi kesan,"Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Kemahiran pembentangan, Pemikiran kritis dan penyelesaian masalah, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",3,"Tiada pengalaman kerja yang mencukupi, Gaji yang ditawarkan terlalu rendah, Saya tidak tahu bagaimana mencari pekerjaan yang sesuai, Tiada rangkaian atau hubungan yang boleh membantu saya mendapatkan pekerjaan, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, dan ia sangat membantu.","Ya, dan saya pernah menyertai.","Ya, tetapi hanya sedikit membantu.",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Pinjaman atau geran untuk membangunkan perniagaan gig.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Tidak pasti, bergantung kepada faedah dan fleksibiliti kerja tetap itu."
3/6/2025 10:21:54,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Pengurusan Perniagaan & Keusahawanan,Sarjana,2024,"Kurang daripada RM4,850",Tidak bekerja,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Ya, saya memilih pekerjaan dengan gaji lebih tinggi untuk membayar hutang","Ya, bekerja sepenuh masa",Lebih dari 1 tahun,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat)",Tiada peluang pekerjaan yang sesuai,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Seni, Reka Bentuk & Kreatif Digital","RM3,000 - RM4,999","RM1,500 - RM2,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",5,5,5,5,5,Tidak,"Ya, tetapi bukan faktor utama","Ya, kemahiran teknikal tertentu (contoh: Python, Data Analytics)","Kemahiran komunikasi, Kemahiran pembentangan, Kemahiran penulisan profesional, Pemikiran kritis dan penyelesaian masalah, Kepimpinan dan pengurusan projek, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Analisis data dan penyelidikan, Penggunaan perisian pejabat (Microsoft Office, Google Workspace), Kecekapan dalam perisian industri (AutoCAD, Adobe Photoshop, QuickBooks), Kemahiran pengaturcaraan (Python, SQL, Java)",4,"Tiada pengalaman kerja yang mencukupi, Terlalu banyak persaingan dalam bidang saya, Gaji yang ditawarkan terlalu rendah, Kebanyakan syarikat lebih memilih pekerja yang sudah berpengalaman","Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak diwajibkan oleh program pengajian.,"Keusahawanan: Mengusahakan perniagaan sendiri (produk, perkhidmatan, syarikat)",Tidak pasti.,"Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
3/6/2025 10:54:43,25-29 tahun,Lelaki,Universiti Poly-Tech Malaysia (UPTM),Information Security,Ijazah Sarjana Muda,2022,"Lebih daripada RM10,959",Sektor Awam,Sektor Swasta,Pinjaman pendidikan,Tidak pasti,"Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,Melalui latihan industri / praktikal,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)","Kewangan, Perbankan & Insurans","RM3,000 - RM4,999","RM3,000 - RM4,999","Tidak, gaji saya lebih rendah daripada yang sepatutnya",5,5,4,4,5,Tidak,"Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Penggunaan perisian pejabat (Microsoft Office, Google Workspace)",4,"Tiada pengalaman kerja yang mencukupi, Gaji yang ditawarkan terlalu rendah, Keadaan ekonomi semasa menyukarkan peluang pekerjaan","Ya, di sektor swasta",Saya mendapat tawaran kerja secara langsung daripada syarikat internship.,Tidak relevan kerana saya menjalani internship.,"Ekonomi Gig: Penghantaran & e-hailing (Grab, FoodPanda, Lalamove)","Ya, tetapi saya tidak rasa ia cukup relevan.","Tidak, saya tidak pernah dengar tentang program seperti ini.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig
3/6/2025 10:55:29,25-29 tahun,Perempuan,Universiti Poly-Tech Malaysia (UPTM),Cyber Security,Ijazah Sarjana Muda,2024,"RM4,850 – RM10,959",Sektor Awam,Tidak bekerja,Pinjaman pendidikan,"Tidak, tiada kaitan antara pembiayaan dan pekerjaan","Tidak, saya memilih pekerjaan berdasarkan minat saya","Ya, bekerja sepenuh masa",Kurang dari 3 bulan,Bekerja dalam bidang pengajian,"Permohonan terus kepada syarikat (JobStreet, LinkedIn, laman web syarikat), Dihubungi oleh perekrut atau headhunter",Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Tidak berkaitan kerana saya bekerja dalam bidang pengajian,Pekerja tetap,"Sektor Swasta (Syarikat Tempatan, Syarikat Multinasional)",Teknologi Maklumat & Telekomunikasi,"RM3,000 - RM4,999","RM3,000 - RM4,999","Ya, gaji saya setanding dengan kelulusan saya",5,5,5,5,5,"Ya, contoh: ACCA, CFA, PMP, Cisco, Google Certification","Ya, tetapi bukan faktor utama","Tidak, ijazah sudah mencukupi","Kemahiran komunikasi, Pengurusan masa dan multitasking, Kemahiran bekerja dalam pasukan, Kemahiran pengaturcaraan (Python, SQL, Java), Keupayaan membuat keputusan berdasarkan data",5,Terlalu banyak persaingan dalam bidang saya,"Ya, di sektor swasta",Saya mendapat kelebihan kerana pengalaman kerja semasa temuduga.,Tidak relevan kerana saya menjalani internship.,Saya tidak bercadang untuk terlibat dalam mana-mana pekerjaan bebas,"Ya, tetapi saya tidak rasa ia cukup relevan.","Ya, tetapi saya tidak menyertainya.",Saya tidak pernah menyertai mana-mana program berkaitan keusahawanan di universiti.,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Latihan teknikal dalam bidang spesifik (design, coding, pemasaran digital)., Bimbingan dalam pengurusan kewangan dan cukai untuk pekerja gig., Platform khas untuk graduan MARA dalam ekonomi gig., Pinjaman atau geran untuk membangunkan perniagaan gig., Perlindungan sosial (KWSP, PERKESO, insurans).",Tidak relevan kerana saya tidak bekerja dalam ekonomi gig,"Ya, saya lebih suka pekerjaan tetap."
